2015-07-07,aaaa,[那个说“叔叔阿姨撒谎”的90后创业者获A轮融资了 300万美元](https://www.pencilnews.cn/p/1)
2015-07-07,aaaa,[火锅上门也是大生意？10个月生死考验 从日30单到破1000单](https://www.pencilnews.cn/p/14)
2015-07-08,aaaa,[黄健翔获550万元天使融资 争当体育界的uber](https://www.pencilnews.cn/p/20)
2015-07-08,aaaa,[3年900亿 ！一B2B电商独秀后 四大行业春天来 上线俩月即破亿](https://www.pencilnews.cn/p/24)
2015-08-25,aaaa,[“客运搅局者”融资1100万美元  前新加坡交通部部长投他 只因他“懂”](https://www.pencilnews.cn/p/102)
2015-08-25,aaaa,[融资400万元 曾被3000万资本热捧的他  从零起步成立E人学院  为电商“输血造人”](https://www.pencilnews.cn/p/111)
2015-08-25,aaaa,[一年前融完2058.725779万元 他的“信用钱包”  贷款效率比传统P2P高十三倍](https://www.pencilnews.cn/p/121)
2015-08-25,aaaa,[融资400万元 3个月时间 “借点儿”让30万用户在“朋友圈”借钱](https://www.pencilnews.cn/p/124)
2015-08-25,aaaa,[融资600万元 “荷尔蒙经济”占据了社交70%江山 小清新“偶尔”如何乱中求生？](https://www.pencilnews.cn/p/127)
2015-08-25,aaaa,[融资1000万元 米投网加工传统金融：以前是原料  现在是成品](https://www.pencilnews.cn/p/94)
2015-08-25,aaaa,[融资400万元 这个不懂腐女的宅男 把腐女社区“豆腐”做到了百万用户](https://www.pencilnews.cn/p/134)
2015-08-25,aaaa,[刚融完4500万元的福佑卡车说：三大物流O2O模式 我已试错两种](https://www.pencilnews.cn/p/140)
2015-08-25,aaaa,[拉拉公园：620万元融资 让我不那么“怂”了](https://www.pencilnews.cn/p/143)
2015-08-25,aaaa,"[融资1000万元 不建洗衣厂的“净净洗衣""：首战1月用户如何破5万？](https://www.pencilnews.cn/p/147)"
2015-08-26,aaaa,[融资1000万元  受马云“刺激”  在意大利6年开了13家超市的他  回国跳入进口电商大潮](https://www.pencilnews.cn/p/156)
2015-08-27,aaaa,[融资1500万元 汽车团购巨头倒下 草根出身的他已独活两年](https://www.pencilnews.cn/p/163)
2015-08-28,aaaa,[融资349万元 “猿人部落”让5000名程序员不用担心技术问题：哪里不会问哪里](https://www.pencilnews.cn/p/167)
2015-08-29,aaaa,[李丰、极客帮投他400万元  只因他创办的BeeCloud 让程序员3行代码完成支付功能](https://www.pencilnews.cn/p/176)
2015-08-30,aaaa,[3个月破1000万流水大关   他摸出一条游戏媒体商业化的“野路子”](https://www.pencilnews.cn/p/184)
2015-08-31,aaaa,[融资1400万元  4年老牌法律电商狠贴互联网标签：既要靠实力  也要混圈子](https://www.pencilnews.cn/p/192)
2015-09-01,aaaa,[融资4800万元  10年创业经验的他告诉你：创始人不会控制现金流  这会要了他的命](https://www.pencilnews.cn/p/199)
2015-09-02,aaaa,[四个月三轮融资  共计1040万美元  “车到加油”五个月拿下200座加油站 用户近百万](https://www.pencilnews.cn/p/205)
2015-09-02,aaaa,[行同于窃！融资打假质问同行：引用铅笔道首发文  为何不署来源？](https://www.pencilnews.cn/p/212)
2015-09-03,aaaa,[融资800万美元 两年为50万名蓝领找工作  他已服务过50多家世界500强工厂](https://www.pencilnews.cn/p/234)
2015-09-05,aaaa,[四位漂亮女生将人脸识别算法做到世界第一  现正用“刷脸支付”改变传统金融](https://www.pencilnews.cn/p/245)
2015-09-06,aaaa,[丰厚等投他500万元   支持曾在乐淘当当做高管的他  杀入20年混乱无序的物流业](https://www.pencilnews.cn/p/258)
2015-09-07,aaaa,[融资3000万美元  曹允东的极致思维与教育之梦：一支视频50万元成本 轻取40万用户](https://www.pencilnews.cn/p/279)
2015-09-08,aaaa,[融资3500万元狠砸租房分期 如何搞定房东、中介、租客？他有土办法](https://www.pencilnews.cn/p/283)
2015-09-08,aaaa,[一年前融完2058.725779万元 他的“信用钱包”  贷款效率比传统P2P高十三倍](https://www.pencilnews.cn/p/292)
2015-09-09,aaaa,[融资1836万元  成立3月估值1.52亿元  他的“族谱科技”为P2P提供风控服务](https://www.pencilnews.cn/p/296)
2015-09-10,aaaa,[吴晓波猛投“微信大号”  为何是他们？](https://www.pencilnews.cn/p/312)
2015-09-11,aaaa,[融资1000万元  也敢乱入美妆垂直电商  4个月后 他却把日销售额做到了10万元](https://www.pencilnews.cn/p/324)
2015-09-12,aaaa,[王刚等投他500万元  他的“一朵棉花”想换掉所有年轻人的床单](https://www.pencilnews.cn/p/333)
2015-09-13,aaaa,[大呼三声牛叉 徐小平等投1120万元 他俩的3D煎饼打印机 能打徐小平的脸](https://www.pencilnews.cn/p/341)
